"year","av IPO (jul-Jun)"
1872,-1.0025
1873,-2.54333333333333
1874,-2.5075
1875,-2.38916666666667
1876,-2.55833333333333
1877,0.795
1878,5.10833333333333
1879,1.28916666666667
1880,-1.0575
1881,0.701666666666667
1882,0.3025
1883,-0.153333333333333
1884,0.504166666666667
1885,2.18
1886,1.90166666666667
1887,-1.67666666666667
1888,1.02166666666667
1889,3.78583333333333
1890,-1.60083333333333
1891,-1.01166666666667
1892,0.063333333333333
1893,-1.935
1894,-3.48416666666667
1895,-1.3325
1896,1.0175
1897,3.10333333333333
1898,0.666666666666667
1899,-0.216666666666667
1900,3.11666666666667
1901,2.56333333333333
1902,1.90083333333333
1903,3.44166666666667
1904,0.58
1905,3.6375
1906,3.73
1907,-0.121666666666667
1908,0.611666666666667
1909,-0.528333333333333
1910,-2.80833333333333
1911,-2.00083333333333
1912,0.7775
1913,0.628333333333333
1914,1.3375
1915,1.97166666666667
1916,0.62
1917,-2.68333333333333
1918,-0.994166666666667
1919,3.31916666666667
1920,1.76166666666667
1921,-0.9525
1922,-0.59
1923,-0.9775
1924,0.41
1925,-0.934166666666667
1926,2.99916666666667
1927,1.77916666666667
1928,0.518333333333333
1929,0.138333333333333
1930,1.2225
1931,3.89166666666667
1932,1.73666666666667
1933,0.075833333333333
1934,-1.32583333333333
1935,-0.188333333333333
1936,0.951666666666667
1937,0.960833333333333
1938,-0.360833333333333
1939,-1.55833333333333
1940,1.86833333333333
1941,4.06
1942,3.26833333333333
1943,-0.9425
1944,-0.495
1945,-0.749166666666667
1946,-1.01916666666667
1947,-0.0675
1948,-0.023333333333333
1949,-1.19916666666667
1950,-3.2825
1951,-3.74583333333333
1952,-0.021666666666667
1953,-0.683333333333333
1954,-1.00333333333333
1955,-2.95333333333333
1956,-4.82333333333333
1957,-2.18916666666667
1958,1.84166666666667
1959,0.758333333333333
1960,0.086666666666667
1961,-0.455
1962,-2.37833333333333
1963,-1.56333333333333
1964,-0.486666666666667
1965,-1.81
1966,1.2
1967,-0.498333333333333
1968,-2.23083333333333
1969,1.16916666666667
1970,1.56
1971,-3.21166666666667
1972,-2.16583333333333
1973,1.18583333333333
1974,-3.69916666666667
1975,-2.68833333333333
1976,-3.60583333333333
1977,2.01666666666667
1978,1.71666666666667
1979,0.668333333333333
1980,2.25083333333333
1981,1.52333333333333
1982,1.2975
1983,4.63416666666667
1984,2.17
1985,-0.820833333333333
1986,-0.081666666666667
1987,3.23166666666667
1988,3.6025
1989,-2.21583333333333
1990,-0.873333333333333
1991,-0.22
1992,2.24083333333333
1993,2.70583333333333
1994,2.10333333333333
1995,1.14333333333333
1996,0.6625
1997,0.641666666666667
1998,4.75916666666667
1999,-1.66833333333333
2000,-3.32666666666667
2001,-1.8125
2002,-1.16666666666667
2003,0.990833333333333
2004,0.639166666666667
2005,0.144166666666667
2006,-0.988333333333333
2007,0.28
2008,-2.79583333333333
2009,-1.625
2010,1.61166666666667
2011,-3.81833333333333
2012,-2.57333333333333
2013,-0.4875
2014,-1.055
2015,1.11833333333333
2016,3.99166666666667
2017,0.675833333333333
2018,-1.4825
2019,-0.2175
2020,-0.398333333333333
